type,blockchain,stage,num_keys,num_vals_per_key,time,cost,file_size
naive,algorand,stabilization,1,1,10.93,1000,77
naive,ethereum,stabilization,1,1,18.27,21272,91
naive,ethereum,stabilization,1,4,159.78,22328,91
improved,algorand,stabilization,1,1,11.28,1000,77
improved,algorand,stabilization,1,4,8.08,1000,77
improved,algorand,stabilization,4,1,12.52,4000,264
improved,algorand,stabilization,4,4,12.04,4000,264
improved,algorand,stabilization,8,1,20.43,8000,512
improved,algorand,stabilization,8,4,19.92,8000,512
improved,algorand,stabilization,12,1,45.27,12000,762
improved,algorand,stabilization,12,4,44.6,12000,762
improved,algorand,stabilization,16,1,65.45,16000,1014
improved,algorand,stabilization,16,4,69.23,16000,1014
improved,algorand,stabilization,20,1,107.22,20000,1266
improved,algorand,stabilization,20,4,106.53,20000,1266
improved,algorand,stabilization,24,1,153.11,24000,1518
improved,algorand,stabilization,24,4,152.28,24000,1518
improved,algorand,stabilization,28,1,211.51,28000,1770
improved,algorand,stabilization,28,4,215.14,28000,1770
improved,ethereum,stabilization,1,1,40.62,21272,91
improved,ethereum,stabilization,1,4,7.13,21560,91
improved,ethereum,stabilization,1,1,19.51,21272,91
improved,ethereum,stabilization,1,4,74.8,21560,91
improved,ethereum,stabilization,1,1,29.37,21272,91
improved,ethereum,stabilization,1,4,42.82,21560,91
naive,ethereum,stabilization,1,1,9.59,21272,91
naive,ethereum,stabilization,1,4,25.55,22328,91
naive,ethereum,stabilization,1,1,6.91,21272,91
naive,ethereum,stabilization,1,4,24.52,22328,91
naive,ethereum,stabilization,1,1,8.26,21272,91
naive,ethereum,stabilization,1,4,27.44,22328,91
naive,ethereum,stabilization,1,1,8.9,21272,91
naive,ethereum,stabilization,1,4,39.11,22328,91
naive,ethereum,stabilization,1,1,33.58,21272,91
improved,ethereum,stabilization,1,1,102.34,21272,91
improved,ethereum,stabilization,1,4,49.39,21560,91
scheme1,algorand,stabilization,1,1,9.49,1000,-1
scheme1,algorand,stabilization,1,4,8.3,1000,-1
scheme1,algorand,stabilization,4,1,12.69,4000,-1
scheme1,algorand,stabilization,4,4,15.95,4000,-1
scheme1,algorand,stabilization,8,1,20.62,8000,-1
scheme1,algorand,stabilization,8,4,19.72,8000,-1
scheme1,algorand,stabilization,12,1,45.42,12000,-1
scheme1,algorand,stabilization,12,4,44.65,12000,-1
scheme1,algorand,stabilization,16,1,65.96,16000,-1
scheme1,algorand,stabilization,1,1,11.45,1000,-1
scheme1,algorand,stabilization,1,1,7.71,1000,-1
scheme1,algorand,stabilization,1,1,8.12,1000,-1
scheme1,algorand,stabilization,1,1,10.14,1000,-1
scheme1,algorand,stabilization,1,1,11.4,1000,-1
scheme1,algorand,stabilization,1,1,11.52,1000,-1
scheme1,algorand,stabilization,1,1,11.95,1000,-1
scheme1,algorand,stabilization,1,1,8.82,1000,-1
scheme1,algorand,stabilization,1,1,10.66,1000,-1
scheme1,algorand,stabilization,1,1,9.59,1000,-1
scheme1,algorand,stabilization,1,1,11.93,1000,-1
scheme1,algorand,stabilization,1,1,12.32,1000,-1
scheme1,algorand,stabilization,1,1,11.58,1000,-1
scheme1,algorand,stabilization,1,1,11.9,1000,-1
scheme1,algorand,stabilization,1,1,11.73,1000,-1
scheme1,algorand,stabilization,1,1,12.49,1000,-1
scheme1,algorand,stabilization,1,1,9.98,1000,-1
scheme1,algorand,stabilization,1,1,11.93,1000,-1
scheme1,algorand,stabilization,1,1,12.58,1000,-1
scheme1,algorand,stabilization,1,1,12.26,1000,-1
scheme1,algorand,stabilization,1,1,10.04,1000,-1
scheme1,algorand,stabilization,1,1,8.65,1000,-1
scheme1,algorand,stabilization,1,1,11.27,1000,-1
scheme1,algorand,stabilization,1,1,9.74,1000,-1
scheme1,algorand,stabilization,1,1,10.67,1000,-1
scheme1,algorand,stabilization,1,1,10.23,1000,-1
scheme1,algorand,stabilization,1,1,11.38,1000,-1
scheme1,algorand,stabilization,1,1,12.63,1000,-1
scheme1,algorand,stabilization,1,1,9.97,1000,-1
scheme1,algorand,stabilization,1,1,10.67,1000,-1
scheme1,algorand,stabilization,1,1,13.29,1000,-1
scheme1,algorand,stabilization,1,1,8.68,1000,-1
scheme1,algorand,stabilization,1,1,12.09,1000,-1
scheme1,algorand,stabilization,1,1,9.37,1000,-1
scheme1,algorand,stabilization,1,1,12.59,1000,-1
scheme1,algorand,stabilization,1,1,12.62,1000,-1
scheme1,algorand,stabilization,1,1,10.03,1000,-1
scheme1,algorand,stabilization,1,1,14.21,1000,-1
scheme1,algorand,stabilization,1,1,90.16,1000,-1
scheme1,algorand,stabilization,1,1,10.77,1000,-1
scheme1,algorand,stabilization,1,1,11.62,1000,-1
scheme1,algorand,stabilization,1,1,10.29,1000,-1
scheme1,algorand,stabilization,1,1,10.65,1000,-1
scheme1,algorand,stabilization,1,1,10.14,1000,-1
scheme1,algorand,stabilization,1,1,9.52,1000,-1
scheme1,algorand,stabilization,1,1,7.92,1000,-1
scheme1,algorand,stabilization,1,1,11.04,1000,-1
scheme1,algorand,stabilization,1,1,8.16,1000,-1
scheme1,algorand,stabilization,1,1,9.8,1000,-1
scheme1,algorand,stabilization,1,1,9.05,1000,-1
scheme1,algorand,stabilization,1,1,10.11,1000,-1
scheme1,algorand,stabilization,1,1,7.96,1000,-1
scheme1,algorand,stabilization,1,1,10.97,1000,-1
scheme1,algorand,stabilization,1,1,9.46,1000,-1
scheme1,algorand,stabilization,1,1,8.48,1000,-1
scheme1,algorand,stabilization,1,1,12.67,1000,-1
scheme1,algorand,stabilization,1,1,12.53,1000,-1
scheme1,algorand,stabilization,1,4,10.59,1000,-1
scheme1,algorand,stabilization,1,4,37.17,4000,-1
scheme1,algorand,stabilization,1,4,34.07,4000,-1
scheme1,algorand,stabilization,1,4,37.14,4000,-1
scheme1,algorand,stabilization,1,4,35.18,4000,-1
scheme1,algorand,stabilization,1,4,37.61,4000,-1
scheme1,algorand,stabilization,1,4,34.55,4000,-1
scheme1,algorand,stabilization,1,4,36.84,4000,-1
scheme1,algorand,stabilization,1,4,36.26,4000,-1
scheme1,algorand,stabilization,1,4,37.94,4000,-1
scheme1,algorand,stabilization,1,4,37.74,4000,-1
scheme1,algorand,stabilization,1,4,41.34,4000,-1
scheme1,algorand,stabilization,1,4,35.1,4000,-1
scheme1,algorand,stabilization,1,4,38.33,4000,-1
scheme1,algorand,stabilization,1,4,37.71,4000,-1
scheme1,algorand,stabilization,1,4,46.56,4000,-1
scheme1,algorand,stabilization,1,4,39.17,4000,-1
